1.152	0.0880836
1.248	0.0802994
1.351	0.0827576
1.449	0.084806
1.553	0.0856254
1.649	0.0872642
1.750	0.090132
1.858	0.0929998
1.953	0.0962774
2.052	0.0958677
2.157	0.0962774
2.245	0.0946386
2.359	0.0950483
2.455	0.0966871
2.554	0.0987355
2.658	0.137656
2.659	9999.0
2.8	9999.0
2.9	9999.0
3.0	9999.0
3.1	9999.0
3.2	9999.0
3.3	9999.0
3.4	9999.0
3.5	9999.0
3.6	9999.0
3.7	9999.0
3.8	9999.0
3.999	9999.0
4.078	0.120859
4.160	0.0831673
4.243	0.0747686
4.372	0.0739492
4.460	0.0741541
4.549	0.0739492
4.641	0.0739492
4.734	0.0743589
4.877	0.0749734
4.975	0.075588
5.075	0.0762025
5.177	0.0770219
5.282	0.0774316
5.388	0.078251
5.442	0.0786607
5.551	0.07948
5.663	0.0805043
5.776	0.0811188
5.834	0.0815285
5.951	0.0819382
6.071	0.0827576
6.132	0.0831673
6.255	0.0839866
6.318	0.084806
6.445	0.0860351
6.509	0.0864448
6.640	0.0880836
6.706	0.0893126
6.841	0.0905417
6.978	0.0925902
7.048	0.0938192
7.119	0.0946386
7.262	0.0975064
7.334	0.0987355
7.482	0.102013
7.557	0.104062
7.632	0.10611
7.786	0.111026
7.864	0.113484
7.942	0.116762
8.022	0.11963
